hst datetime,ap5_ghi,elevation,azimuth,ap5_rel
2010-03-21 08:48:47-10:00,497.447,30.082695342515127,-282.5161753676644,1.0424101833894408
2010-03-21 08:48:48-10:00,496.675,30.086483300394605,-282.5181720478804,1.0406452450992718
2010-03-21 08:48:49-10:00,497.061,30.090271230227717,-282.52016887886293,1.0413067319446059
2010-03-21 08:48:50-10:00,497.447,30.094059131583776,-282.5221658604214,1.0419680317378528
2010-03-21 08:48:51-10:00,497.447,30.097847157593865,-282.5241630735702,1.0418207311952268
2010-03-21 08:48:52-10:00,497.447,30.101634849588095,-282.52616027556763,1.0416734722937686
2010-03-21 08:48:53-10:00,496.675,30.105422818816333,-282.52815779015907,1.039909885294281
2010-03-21 08:48:54-10:00,497.061,30.109210607251033,-282.5301553749259,1.040571008685713
2010-03-21 08:48:55-10:00,497.447,30.11299836717285,-282.5321531104369,1.0412319452599015
2010-03-21 08:48:56-10:00,497.447,30.11678609899818,-282.5341509969503,1.041084852746664
2010-03-21 08:48:57-10:00,496.674,30.120573802296807,-282.536149034276,1.039320252739423
2010-03-21 08:48:58-10:00,497.06,30.12436163018946,-282.53814730346795,1.0399810859272185
2010-03-21 08:48:59-10:00,497.06,30.12814912382054,-282.54014556154675,1.039834232357116
2010-03-21 08:49:00-10:00,496.674,30.1319368953531,-282.5421441331642,1.0388800341361177
2010-03-21 08:49:01-10:00,497.446,30.13572448500794,-282.5441427741306,1.0403483568972547
2010-03-21 08:49:02-10:00,497.06,30.139512046832188,-282.5461415666988,1.0393947897685714
2010-03-21 08:49:03-10:00,497.06,30.143299580086108,-282.54814051028063,1.0392485362895445
2010-03-21 08:49:04-10:00,497.446,30.147087085185692,-282.55013960513406,1.0399092557162546
2010-03-21 08:49:05-10:00,496.288,30.150874561701126,-282.55213885106934,1.0373425162905174
2010-03-21 08:49:06-10:00,497.446,30.154662009738562,-282.55413824794584,1.039616727462111
2010-03-21 08:49:07-10:00,496.674,30.15844958249099,-282.55613787761916,1.0378573424153565
2010-03-21 08:49:08-10:00,496.674,30.16223697374603,-282.558137577058,1.037711407943264
2010-03-21 08:49:09-10:00,496.674,30.1660243366971,-282.56013742811103,1.037565514505474
2010-03-21 08:49:10-10:00,497.446,30.16981167144923,-282.5621374306362,1.0390321644083975
2010-03-21 08:49:11-10:00,497.06,30.17359897778645,-282.5641375845589,1.0380799885052263
2010-03-21 08:49:12-10:00,497.446,30.177386255489104,-282.5661378897996,1.0387401293314424
2010-03-21 08:49:13-10:00,497.06,30.18117350497243,-282.56813834661534,1.037788262048113
2010-03-21 08:49:14-10:00,497.446,30.184960878494167,-282.57013903571215,1.0384482583697578
2010-03-21 08:49:15-10:00,497.06,30.188748070783976,-282.5721397951638,1.0374966995098056
2010-03-21 08:49:16-10:00,497.446,30.19253523471892,-282.5741407064656,1.0381565513850408
2010-03-21 08:49:17-10:00,497.446,30.196322370406246,-282.5761417694784,1.0380107593408678
2010-03-21 08:49:18-10:00,497.446,30.200109477417264,-282.57814298401394,1.0378650082391436
2010-03-21 08:49:19-10:00,497.446,30.20389655616533,-282.580144350327,1.0377192980626235
2010-03-21 08:49:20-10:00,497.446,30.20768360622034,-282.5821458682273,1.037573628794073
2010-03-21 08:49:21-10:00,497.446,30.211470780678944,-282.5841476189132,1.0374280004162677
2010-03-21 08:49:22-10:00,498.218,30.215257773440822,-282.5861494399243,1.03889219974869
2010-03-21 08:49:23-10:00,497.446,30.219044738220113,-282.5881514132466,1.0371368662640403
2010-03-21 08:49:24-10:00,497.832,30.222831674278133,-282.5901535382922,1.0377960280274472
2010-03-21 08:49:25-10:00,497.832,30.226618582031062,-282.5921558153201,1.0376504501650274
2010-03-21 08:49:26-10:00,497.832,30.230405461047685,-282.59415824413827,1.0375049131390364
2010-03-21 08:49:27-10:00,497.832,30.23419231174484,-282.59616082500656,1.0373594169322933
2010-03-21 08:49:28-10:00,497.446,30.237979286361767,-282.5981636387133,1.0364097452676249
2010-03-21 08:49:29-10:00,497.832,30.24176592699514,-282.6001664421797,1.0370685469078784
2010-03-21 08:49:30-10:00,497.446,30.245552844722724,-282.60216956005536,1.0361191822622136
2010-03-21 08:49:31-10:00,497.832,30.249339581009096,-282.60417274890517,1.036777839954533
2010-03-21 08:49:32-10:00,497.832,30.253126288938766,-282.6061760899731,1.0366325475866631
2010-03-21 08:49:33-10:00,498.218,30.256912968082315,-282.60817958306967,1.0372909487662993
2010-03-21 08:49:34-10:00,498.218,30.260699618856115,-282.6101832284541,1.0371456252230034
2010-03-21 08:49:35-10:00,497.832,30.26448639349135,-282.6121871069578,1.0361969147128216
2010-03-21 08:49:36-10:00,497.832,30.268272834107893,-282.61419097537134,1.036051785107786
2010-03-21 08:49:37-10:00,497.832,30.272059551849267,-282.616195158804,1.0359066961507242
2010-03-21 08:49:38-10:00,498.218,30.275846087911866,-282.6181994128332,1.0365647380157514
2010-03-21 08:49:39-10:00,498.218,30.279632595453364,-282.6202038194921,1.036419617869958
2010-03-21 08:49:40-10:00,498.218,30.28341907458166,-282.62220837864254,1.0362745383524208
2010-03-21 08:49:41-10:00,498.218,30.28720552486476,-282.62421309009164,1.0361294994460797
2010-03-21 08:49:42-10:00,498.218,30.290991946719956,-282.62621795409996,1.035984501133886
2010-03-21 08:49:43-10:00,498.989,30.29477833940668,-282.6282229700767,1.0374425209868439
2010-03-21 08:49:44-10:00,498.218,30.298564856922013,-282.6302282205575,1.0356946262237887
2010-03-21 08:49:45-10:00,498.218,30.302351192291876,-282.6322335416033,1.0355497495918333
2010-03-21 08:49:46-10:00,498.603,30.306137499513966,-282.63423901574293,1.0362050268734186
2010-03-21 08:49:47-10:00,498.989,30.309923778059478,-282.63624464249835,1.036862198807229
2010-03-21 08:49:48-10:00,498.989,30.31371002770952,-282.63825042179076,1.0367172196916623
2010-03-21 08:49:49-10:00,498.989,30.31749624888112,-282.64025635388094,1.0365722811137976
2010-03-21 08:49:50-10:00,498.603,30.321282441142948,-282.64226243857655,1.0356256399924395
2010-03-21 08:49:51-10:00,498.989,30.325068757555815,-282.6442687572599,1.0362825255031844
2010-03-21 08:49:52-10:00,498.989,30.328854892090035,-282.6462751471019,1.036137708436465
2010-03-21 08:49:53-10:00,499.375,30.33264099842484,-282.6482816902753,1.0367943388278158
2010-03-21 08:49:54-10:00,499.375,30.33642707582154,-282.6502883861913,1.0366494907209622
2010-03-21 08:49:55-10:00,499.375,30.340213124694777,-282.6522952351074,1.0365046830812341
2010-03-21 08:49:56-10:00,499.761,30.34399914461627,-282.65430223683524,1.0371609870857363
2010-03-21 08:49:57-10:00,499.761,30.347785135999167,-282.6563093916306,1.0370161484605087
2010-03-21 08:49:58-10:00,499.761,30.351571251051585,-282.65831678047107,1.036871350282807
2010-03-21 08:49:59-10:00,499.761,30.355357184605122,-282.66032424088974,1.0367265925356914
2010-03-21 08:50:00-10:00,499.761,30.359143089486064,-282.66233185465427,1.0365818752022302
2010-03-21 08:50:01-10:00,500.533,30.362928965801032,-282.6643396216251,1.0380382225892506
2010-03-21 08:50:02-10:00,500.533,30.366714813119515,-282.66634754161083,1.0378933626067013
2010-03-21 08:50:03-10:00,499.761,30.370500631855773,-282.66835561486874,1.0361479655146033
