hst datetime,dh3_ghi,elevation,azimuth,dh3_rel
2010-03-20 16:21:21-10:00,537.159,32.00892327541256,-76.0883816311619,1.0425235342615065
2010-03-20 16:21:22-10:00,535.744,32.00516034807785,-76.09048404062571,1.0399129161445206
2010-03-20 16:21:23-10:00,536.687,32.00139738657791,-76.09258627844684,1.0418792408055375
2010-03-20 16:21:24-10:00,536.215,31.99763439179979,-76.09468834441134,1.0410987575507644
2010-03-20 16:21:25-10:00,535.744,31.99387136333549,-76.09679023879124,1.040320012427667
2010-03-20 16:21:26-10:00,535.744,31.990108301609347,-76.09889196139005,1.040455782027559
2010-03-20 16:21:27-10:00,533.857,31.986345206673356,-76.10099351246242,1.036926410558816
2010-03-20 16:21:28-10:00,533.857,31.982581925697666,-76.1030949764268,1.0370617725996274
2010-03-20 16:21:29-10:00,534.329,31.97881876386264,-76.10519618435302,1.0381141890831207
2010-03-20 16:21:30-10:00,534.801,31.975055568336654,-76.10729722066657,1.03916688040665
2010-03-20 16:21:31-10:00,534.329,31.971292339173033,-76.10939808562193,1.0383853294590815
2010-03-20 16:21:32-10:00,534.329,31.967529076796136,-76.11149877902272,1.0385209527674508
2010-03-20 16:21:33-10:00,533.857,31.963765780798774,-76.11359930114065,1.0377391132612708
2010-03-20 16:21:34-10:00,533.857,31.96000245160579,-76.11569965177944,1.0378746875821385
2010-03-20 16:21:35-10:00,533.857,31.95623893692414,-76.11779991572541,1.0380102973315601
2010-03-20 16:21:36-10:00,533.857,31.952475541409104,-76.11989992372872,1.038145942523425
2010-03-20 16:21:37-10:00,532.914,31.948712111839455,-76.12199976061748,1.0364476122461364
2010-03-20 16:21:38-10:00,533.386,31.944948649107253,-76.12409942617779,1.037501186524813
2010-03-20 16:21:39-10:00,532.442,31.94118515280128,-76.12619892068136,1.035800382538919
2010-03-20 16:21:40-10:00,532.914,31.937421623139546,-76.12829824404889,1.0368541476967617
2010-03-20 16:21:41-10:00,532.914,31.933658060338807,-76.13039739620103,1.0369897303936448
2010-03-20 16:21:42-10:00,532.914,31.929894312098384,-76.13249646187552,1.0371253485537066
2010-03-20 16:21:43-10:00,532.914,31.926130683088285,-76.13459527191952,1.037261002190862
2010-03-20 16:21:44-10:00,532.442,31.92236702008284,-76.13669391111222,1.0364778728261768
2010-03-20 16:21:45-10:00,532.914,31.918603323973212,-76.13879237924004,1.0375324159521528
2010-03-20 16:21:46-10:00,532.914,31.914839594347253,-76.14089067657443,1.037668176104156
2010-03-20 16:21:47-10:00,532.914,31.911075831632008,-76.1429888029192,1.0378039717889878
2010-03-20 16:21:48-10:00,532.442,31.90731203541622,-76.14508675854574,1.0370205034956754
2010-03-20 16:21:49-10:00,532.914,31.90354805422726,-76.14718462767587,1.0380756698129525
2010-03-20 16:21:50-10:00,532.442,31.89978434381567,-76.14928215730981,1.0372920319501266
2010-03-20 16:21:51-10:00,532.442,31.896020296082575,-76.15137968494383,1.037427849506111
2010-03-20 16:21:52-10:00,532.914,31.892256366784267,-76.1534769575988,1.0384834836941526
2010-03-20 16:21:53-10:00,531.971,31.888492404445486,-76.1555740594896,1.0367816387655857
2010-03-20 16:21:54-10:00,532.914,31.884728408654915,-76.15767099088748,1.0387555376749018
2010-03-20 16:21:55-10:00,531.971,31.88096437983783,-76.1597677515964,1.037053282491559
2010-03-20 16:21:56-10:00,531.499,31.877200165677504,-76.1618644262573,1.0362688946392336
2010-03-20 16:21:57-10:00,531.971,31.873436222580942,-76.16396076166421,1.0373250685997844
2010-03-20 16:21:58-10:00,531.499,31.869671941740144,-76.16605709525476,1.0365405107706807
2010-03-20 16:21:59-10:00,531.971,31.86590778032072,-76.16815317414296,1.0375969972022363
2010-03-20 16:22:00-10:00,531.971,31.862143585457236,-76.17024908254666,1.0377330149738213
2010-03-20 16:22:01-10:00,531.971,31.85837935719696,-76.17234482072013,1.0378692708980615
2010-03-20 16:22:02-10:00,531.971,31.854615095972417,-76.17444038846702,1.038005562608221
2010-03-20 16:22:03-10:00,531.971,31.850850801367752,-76.17653578605854,1.0381418901183996
2010-03-20 16:22:04-10:00,531.971,31.847086474274118,-76.17863101328157,1.0382782534427046
2010-03-20 16:22:05-10:00,531.499,31.843321960972343,-76.18072615476609,1.037493302153169
2010-03-20 16:22:06-10:00,531.028,31.839557567580723,-76.18282104162517,1.0367100968677387
2010-03-20 16:22:07-10:00,531.028,31.83579314038004,-76.18491575849555,1.0368463258036749
2010-03-20 16:22:08-10:00,530.556,31.83202868025964,-76.18701030516434,1.036060876846552
2010-03-20 16:22:09-10:00,530.084,31.82826418681091,-76.18910468190217,1.0352752214112548
2010-03-20 16:22:10-10:00,530.084,31.824499660460475,-76.19119888851321,1.0354113154476468
2010-03-20 16:22:11-10:00,530.556,31.820735100795165,-76.19329292526828,1.0364695225144112
2010-03-20 16:22:12-10:00,531.499,31.81697035631256,-76.19538687623145,1.0384482525510903
2010-03-20 16:22:13-10:00,529.613,31.813205730923066,-76.19748057312961,1.0348994466276806
2010-03-20 16:22:14-10:00,529.613,31.80944107220197,-76.19957410006737,1.0350355628395396
2010-03-20 16:22:15-10:00,531.028,31.805676380200197,-76.2016674572987,1.0379374475317058
2010-03-20 16:22:16-10:00,530.556,31.801911655133956,-76.20376064474425,1.0371513154499492
2010-03-20 16:22:17-10:00,531.028,31.798146897221724,-76.20585366232473,1.038210586882598
2010-03-20 16:22:18-10:00,531.499,31.794382106053046,-76.20794651031076,1.039268181752411
2010-03-20 16:22:19-10:00,532.442,31.79061713011393,-76.21003927271875,1.0412491031081885
2010-03-20 16:22:20-10:00,531.971,31.78685227333473,-76.212131781371,1.0404649488931745
2010-03-20 16:22:21-10:00,532.442,31.783087383280076,-76.2142241203245,1.0415232582318155
2010-03-20 16:22:22-10:00,533.386,31.779322460002668,-76.21631628983278,1.0435072153355374
2010-03-20 16:22:23-10:00,532.914,31.77555750392595,-76.21840828970011,1.0427210920558245
2010-03-20 16:22:24-10:00,532.914,31.77179251463986,-76.22050012019696,1.0428584176365054
2010-03-20 16:22:25-10:00,533.386,31.76802749257337,-76.22259178112739,1.0439195569781905
2010-03-20 16:22:26-10:00,533.386,31.76426228536462,-76.22468335692628,1.0440570766182624
2010-03-20 16:22:27-10:00,533.857,31.76049734975278,-76.22677459488784,1.0451166958261853
2010-03-20 16:22:28-10:00,533.857,31.756732076599555,-76.22886583195992,1.0452544094531975
2010-03-20 16:22:29-10:00,533.857,31.752966922649005,-76.2309568154572,1.0453921593776723
2010-03-20 16:22:30-10:00,533.386,31.74920173553652,-76.23304762980763,1.0446075176896608
