hst datetime,dh1_ghi,elevation,azimut,dh1_rel
2010-03-20 07:30:00-10:00,162.281,11.754072243718124,-274.62706503067034,0.9597742171559757
2010-03-20 07:30:01-10:00,162.64,11.757919677994186,-274.62864034553417,0.9615003181717764
2010-03-20 07:30:02-10:00,162.64,11.76176711790733,-274.630215704513,0.9611035199142142
2010-03-20 07:30:03-10:00,162.64,11.765614563012255,-274.63179110744613,0.9607070462245234
2010-03-20 07:30:04-10:00,162.64,11.769462013721807,-274.63336655452457,0.9603108966711231
2010-03-20 07:30:05-10:00,162.64,11.773309469592967,-274.63494204558987,0.9599150709111985
2010-03-20 07:30:06-10:00,162.64,11.777157086165525,-274.6365176445614,0.9595195525746012
2010-03-20 07:30:07-10:00,162.64,11.781004397290694,-274.6380931597588,0.9591243891725778
2010-03-20 07:30:08-10:00,162.64,11.7848520245389,-274.6396688469631,0.9587295164760171
2010-03-20 07:30:09-10:00,162.64,11.788699501760702,-274.64124451448833,0.9583349819582831
2010-03-20 07:30:10-10:00,162.999,11.792546984496866,-274.6428202262565,0.9600552597723826
2010-03-20 07:30:11-10:00,162.999,11.796394472302188,-274.64439598210697,0.9596604991162923
2010-03-20 07:30:12-10:00,162.999,11.800241965591168,-274.6459717822321,0.9592660602272345
2010-03-20 07:30:13-10:00,162.999,11.80408961904761,-274.64754769021283,0.9588719268822893
2010-03-20 07:30:14-10:00,163.358,11.807936967378565,-274.6491235146851,0.960589163306854
2010-03-20 07:30:15-10:00,163.358,11.81178463162333,-274.6506995114607,0.960194804967792
2010-03-20 07:30:16-10:00,163.358,11.815632145515057,-274.6522754881619,0.9598007835455469
2010-03-20 07:30:17-10:00,163.358,11.819479664924359,-274.6538515094662,0.9594070826751483
2010-03-20 07:30:18-10:00,163.358,11.823327189298608,-274.6554275749671,0.9590137020308565
2010-03-20 07:30:19-10:00,163.358,11.82717471904962,-274.65700368485454,0.9586206411888599
2010-03-20 07:30:20-10:00,163.358,11.831022253735455,-274.65857983897075,0.9582278998131942
2010-03-20 07:30:21-10:00,163.358,11.83486979344672,-274.66015603717267,0.9578354775140507
2010-03-20 07:30:22-10:00,163.358,11.838717493838114,-274.6617323440613,0.9574433580551457
2010-03-20 07:30:23-10:00,163.717,11.842565043771375,-274.6633086309775,0.959154815426298
2010-03-20 07:30:24-10:00,163.717,11.846412598901132,-274.66488496252043,0.9587624877580923
2010-03-20 07:30:25-10:00,163.717,11.850260159319884,-274.666461338549,0.958370478321237
2010-03-20 07:30:26-10:00,164.076,11.854107724583166,-274.66803775890287,0.9600794506382625
2010-03-20 07:30:27-10:00,164.076,11.857955295104704,-274.6696142237738,0.9596872183696455
2010-03-20 07:30:28-10:00,164.076,11.861802870440442,-274.67119073300194,0.9592953039427115
2010-03-20 07:30:29-10:00,164.076,11.865650606136219,-274.67276735054884,0.9589036911553006
2010-03-20 07:30:30-10:00,164.076,11.869498191161265,-274.67434394838216,0.9585124112864
2010-03-20 07:30:31-10:00,164.076,11.87334578170904,-274.6759205911329,0.9581214480564164
2010-03-20 07:30:32-10:00,164.076,11.877193377011672,-274.6774972783058,0.9577308011676985
2010-03-20 07:30:33-10:00,164.435,11.881040977483522,-274.679074010093,0.9594351411409183
2010-03-20 07:30:34-10:00,164.435,11.884888582680027,-274.680650786334,0.959044272413171
2010-03-20 07:30:35-10:00,164.435,11.888736193014621,-274.6822276072203,0.9586537195537642
2010-03-20 07:30:36-10:00,164.435,11.892583963178051,-274.68380453637576,0.9582634665056619
2010-03-20 07:30:37-10:00,164.794,11.896431582993932,-274.6853814460934,0.9599648059617136
2010-03-20 07:30:38-10:00,164.794,11.900279208015025,-274.68695840075475,0.9595743479470268
2010-03-20 07:30:39-10:00,164.794,11.904126837686542,-274.68853539995064,0.9591842050431875
2010-03-20 07:30:40-10:00,164.794,11.907974472423556,-274.69011244387406,0.9587943768353931
2010-03-20 07:30:41-10:00,164.794,11.911822111781754,-274.69168953236465,0.9584048629965196
2010-03-20 07:30:42-10:00,164.794,11.915669756174694,-274.6932666656138,0.9580156631131354
2010-03-20 07:30:43-10:00,164.794,11.91951756029441,-274.6948439072579,0.9576267611857125
2010-03-20 07:30:44-10:00,164.794,11.923365058828528,-274.69642106576964,0.9572382038544608
2010-03-20 07:30:45-10:00,164.794,11.927212872517376,-274.69799839684146,0.9568499280611958
2010-03-20 07:30:46-10:00,165.153,11.931060536049005,-274.69957570894167,0.958545611190655
2010-03-20 07:30:47-10:00,165.153,11.934908204113055,-274.7011530657055,0.9581571312406574
2010-03-20 07:30:48-10:00,165.512,11.938755877124985,-274.7027304673266,0.9598509062668413
2010-03-20 07:30:49-10:00,165.512,11.942603554639684,-274.70430791364345,0.9594622077479746
2010-03-20 07:30:50-10:00,165.512,11.946451392207264,-274.7058854686558,0.9590738059465533
2010-03-20 07:30:51-10:00,165.512,11.95029892365623,-274.707462940449,0.9586857475310726
2010-03-20 07:30:52-10:00,165.512,11.95414677091286,-274.70904058545295,0.9582979694071776
2010-03-20 07:30:53-10:00,165.51,11.957994466830828,-274.7106182107373,0.9578989431862329
2010-03-20 07:30:54-10:00,165.51,11.96184216793252,-274.71219588131163,0.9575118076370496
2010-03-20 07:30:55-10:00,165.51,11.965689873664763,-274.71377359676785,0.9571249826490826
2010-03-20 07:30:56-10:00,165.51,11.969537583798191,-274.715351357034,0.9567384678801502
2010-03-20 07:30:57-10:00,165.869,11.97338529874748,-274.7169291623025,0.9584266418882939
2010-03-20 07:30:58-10:00,165.869,11.977233017745181,-274.7185070120777,0.9580399094299789
