hst datetime,ap1_ghi,elevation,azimut,ap1_rel
2010-03-23 07:30:00-10:00,105.04,12.398694571122684,-273.58713480998273,0.5810135771709104
2010-03-23 07:30:01-10:00,105.04,12.402549264867995,-273.58869829837795,0.5807886559403029
2010-03-23 07:30:02-10:00,105.407,12.406403963973691,-273.5902618269744,0.5825923443208588
2010-03-23 07:30:03-10:00,105.407,12.410258668855692,-273.59182539596196,0.5823669847482802
2010-03-23 07:30:04-10:00,105.407,12.414113379070741,-273.5933890051817,0.5821417986511024
2010-03-23 07:30:05-10:00,105.407,12.417968095037152,-273.5949526548258,0.5819167858090742
2010-03-23 07:30:06-10:00,105.407,12.42182297194563,-273.5965164080722,0.5816919369781611
2010-03-23 07:30:07-10:00,105.774,12.425677542984666,-273.59808007476545,0.5834917983444107
2010-03-23 07:30:08-10:00,105.774,12.42953243089906,-273.59964390876746,0.5832665134278225
2010-03-23 07:30:09-10:00,105.774,12.43338716866227,-273.6012077198311,0.5830414107012043
2010-03-23 07:30:10-10:00,105.774,12.43724191210962,-273.6027715713973,0.5828164808587949
2010-03-23 07:30:11-10:00,106.142,12.441096660800632,-273.6043354633101,0.5846186278320981
2010-03-23 07:30:12-10:00,106.142,12.444951415150273,-273.60589939575823,0.584393261845361
2010-03-23 07:30:13-10:00,106.142,12.448806330135467,-273.60746343184314,0.5841680597102038
2010-03-23 07:30:14-10:00,106.142,12.452660939587757,-273.60902738163986,0.5839430484548747
2010-03-23 07:30:15-10:00,106.142,12.456515865722274,-273.61059149904014,0.5837181915635365
2010-03-23 07:30:16-10:00,106.509,12.460370641393068,-273.612155593109,0.585511022087544
2010-03-23 07:30:17-10:00,106.509,12.464225422552675,-273.61371972795314,0.5852857425102677
2010-03-23 07:30:18-10:00,106.509,12.468080209291925,-273.61528390342767,0.5850606354638387
2010-03-23 07:30:19-10:00,106.876,12.471935001171477,-273.6168481193777,0.586850879799576
2010-03-23 07:30:20-10:00,106.876,12.475789798605382,-273.618412375991,0.5866253427924399
2010-03-23 07:30:21-10:00,106.876,12.479644600826258,-273.61997667277484,0.5863999783744064
2010-03-23 07:30:22-10:00,106.876,12.48349956464922,-273.6215410741996,0.5861747771943745
2010-03-23 07:30:23-10:00,106.876,12.487354377487424,-273.6231054522201,0.5859497573198396
2010-03-23 07:30:24-10:00,106.876,12.491209196152942,-273.624669871302,0.5857249093935695
2010-03-23 07:30:25-10:00,107.243,12.495064020092984,-273.6262343310397,0.587510774308285
2010-03-23 07:30:26-10:00,107.243,12.498918849082246,-273.6277988313646,0.5872854988551864
2010-03-23 07:30:27-10:00,107.611,12.502773683534887,-273.62936337246435,0.5890748692923893
2010-03-23 07:30:28-10:00,107.611,12.506628523010011,-273.6309279541823,0.5888491657897338
2010-03-23 07:30:29-10:00,107.611,12.510483523349167,-273.63249263999694,0.5886236253831976
2010-03-23 07:30:30-10:00,107.611,12.514338372934956,-273.63405730284046,0.5883982661115265
2010-03-23 07:30:31-10:00,107.978,12.518193228257953,-273.63562200685783,0.5901790029233214
2010-03-23 07:30:32-10:00,107.978,12.52204808855271,-273.6371867515584,0.589953219669783
2010-03-23 07:30:33-10:00,107.978,12.525902954237015,-273.63875153713343,0.5897276084206268
2010-03-23 07:30:34-10:00,108.345,12.529757824862614,-273.6403163634187,0.5915057928594138
2010-03-23 07:30:35-10:00,108.345,12.533612700852721,-273.6418812306114,0.591279759421068
2010-03-23 07:30:36-10:00,108.345,12.537467737186716,-273.64344620184795,0.591053888918518
2010-03-23 07:30:37-10:00,108.345,12.541322623107037,-273.64501115038985,0.5908281993673051
2010-03-23 07:30:38-10:00,108.345,12.545177514245209,-273.6465761400435,0.5906026814536044
2010-03-23 07:30:39-10:00,108.712,12.54903241069603,-273.648141170668,0.5923771363735417
2010-03-23 07:30:40-10:00,108.712,12.552887312013489,-273.64970624210116,0.5921511984336085
2010-03-23 07:30:41-10:00,108.712,12.556742218615677,-273.65127135453474,0.5919254321331708
2010-03-23 07:30:42-10:00,108.712,12.560597130062444,-273.65283650781276,0.5916998373067247
2010-03-23 07:30:43-10:00,109.08,12.564452202196337,-273.6544017654345,0.5934765992678412
2010-03-23 07:30:44-10:00,109.08,12.568306968182378,-273.65596693706163,0.5932505934165115
2010-03-23 07:30:45-10:00,109.08,12.572162050152789,-273.6575322765386,0.5930247408102017
2010-03-23 07:30:46-10:00,109.08,12.576016981918995,-273.65909759378616,0.5927990685804795
2010-03-23 07:30:47-10:00,109.447,12.579871918463185,-273.66066295195526,0.5945672830683265
2010-03-23 07:30:48-10:00,109.447,12.583726860205473,-273.6622283512396,0.5943411947051438
2010-03-23 07:30:49-10:00,109.447,12.587581806700724,-273.663793791478,0.5941152776403974
2010-03-23 07:30:50-10:00,109.814,12.591436913796262,-273.6653593361849,0.5958809654945947
2010-03-23 07:30:51-10:00,109.814,12.595291714437119,-273.6669247948988,0.5956546431778467
2010-03-23 07:30:52-10:00,109.814,12.59914683173216,-273.6684904221084,0.5954284738564436
2010-03-23 07:30:53-10:00,110.182,12.603001797652615,-273.67005602634504,0.5971970803465874
2010-03-23 07:30:54-10:00,110.182,12.606856769017414,-273.67162167212507,0.5969705054348462
2010-03-23 07:30:55-10:00,110.549,12.610711745061332,-273.67318735895765,0.5987317684673825
2010-03-23 07:30:56-10:00,110.549,12.614566726200707,-273.67475308703257,0.5985047824091129
2010-03-23 07:30:57-10:00,110.916,12.618421711991452,-273.6763188561895,0.6002641279614759
2010-03-23 07:30:58-10:00,110.916,12.62227670252917,-273.67788466628804,0.6000367322960449
