hst datetime,ap6_ghi,elevation,azimut,ap6_rel
2010-03-24 11:52:51-10:00,1235.43,67.41759282860423,-328.9965967301555,1.2961942868071528
2010-03-24 11:52:52-10:00,1236.99,67.41959583756316,-329.00610567468965,1.2978109814555197
2010-03-24 11:52:53-10:00,1238.94,67.42159829473742,-329.015616207476,1.2998368028168419
2010-03-24 11:52:54-10:00,1239.33,67.42360019975644,-329.0251283274354,1.3002259164776409
2010-03-24 11:52:55-10:00,1240.5,67.4256015526961,-329.03464203561896,1.3014333389379755
2010-03-24 11:52:56-10:00,1238.55,67.42760243371943,-329.04415771502926,1.2993675266923816
2010-03-24 11:52:57-10:00,1241.67,67.42960268177065,-329.053674597423,1.3026206605105477
2010-03-24 11:52:58-10:00,1242.84,67.43160237711967,-329.063193068128,1.3038280119266201
2010-03-24 11:52:59-10:00,1242.84,67.43360151979981,-329.07271312699635,1.3038079386466237
2010-03-24 11:53:00-10:00,1242.45,67.43560010944095,-329.0822347729549,1.303378747934865
2010-03-24 11:53:01-10:00,1243.62,67.43759814611799,-329.09175800703315,1.3045860536309095
2010-03-24 11:53:02-10:00,1244.39,67.43959562946137,-329.1012828281707,1.3053737266585634
2010-03-24 11:53:03-10:00,1244.39,67.44159263992293,-329.11080962192347,1.3053536589851074
2010-03-24 11:53:04-10:00,1245.56,67.4435889360712,-329.1203372329821,1.3065609011624304
2010-03-24 11:53:05-10:00,1247.51,67.44558483919468,-329.1298672014122,1.308586299560139
2010-03-24 11:53:06-10:00,1247.51,67.44758010826226,-329.13939837329997,1.3085662060212233
2010-03-24 11:53:07-10:00,1249.46,67.44957482325887,-329.14893113214936,1.310591526759313
2010-03-24 11:53:08-10:00,1249.46,67.45156898425947,-329.1584654790096,1.3105714175931042
2010-03-24 11:53:09-10:00,1251.41,67.45356259089398,-329.1680014127899,1.3125966599596381
2010-03-24 11:53:10-10:00,1251.02,67.45555572345795,-329.1775393195142,1.3121674719467722
2010-03-24 11:53:11-10:00,1245.95,67.45754814087867,-329.18707804198334,1.3068296317486792
2010-03-24 11:53:12-10:00,1235.82,67.45954016419206,-329.19661912485066,1.2961848002739176
2010-03-24 11:53:13-10:00,1235.04,67.46153155226892,-329.2061614071304,1.295346862336636
2010-03-24 11:53:14-10:00,1241.28,67.46352238550567,-329.21570527849906,1.3018716303298563
2010-03-24 11:53:15-10:00,1245.95,67.46551266349144,-329.2252507366716,1.3067495933004525
2010-03-24 11:53:16-10:00,1246.34,67.46750238630074,-329.23479778269444,1.3071386284263282
2010-03-24 11:53:17-10:00,1247.12,67.46949155356393,-329.24434641547623,1.3079366775292334
2010-03-24 11:53:18-10:00,1247.51,67.47148016531439,-329.2538966348606,1.3083256971174029
2010-03-24 11:53:19-10:00,1246.34,67.47346830132437,-329.26344882891226,1.307078686789897
2010-03-24 11:53:20-10:00,1246.73,67.47545580144454,-329.273002222845,1.307467722113194
2010-03-24 11:53:21-10:00,1245.95,67.47744274546909,-329.2825572046449,1.3066297719260274
2010-03-24 11:53:22-10:00,1246.34,67.47942913343113,-329.29211377415936,1.3070188167294858
2010-03-24 11:53:23-10:00,1246.34,67.48141496507233,-329.30167193083105,1.3069988757665398
2010-03-24 11:53:24-10:00,1245.95,67.4834002401345,-329.3112316741064,1.3065699677572662
2010-03-24 11:53:25-10:00,1246.73,67.48538495869131,-329.32079300503125,1.3073679860985035
2010-03-24 11:53:26-10:00,1245.95,67.48736920023534,-329.3303563085002,1.3065301368022064
2010-03-24 11:53:27-10:00,1245.95,67.48935280505405,-329.3399208124311,1.3065102335113092
2010-03-24 11:53:28-10:00,1245.56,67.49133585274336,-329.3494869040667,1.3060813880940991
2010-03-24 11:53:29-10:00,1246.34,67.49331834333637,-329.3590545832483,1.3068793942567904
2010-03-24 11:53:30-10:00,1245.95,67.49530027646406,-329.3686238488764,1.3064505707757426
2010-03-24 11:53:31-10:00,1247.12,67.49728165219997,-329.37819470200003,1.3076574928531404
2010-03-24 11:53:32-10:00,1245.95,67.4992624701756,-329.3877671415266,1.3064108348925925
2010-03-24 11:53:33-10:00,1248.29,67.5012428101679,-329.3973415549357,1.3088444912256025
2010-03-24 11:53:34-10:00,1241.67,67.50322243265606,-329.4069167805988,1.301883575996899
2010-03-24 11:53:35-10:00,1224.91,67.50520165656451,-329.4164943678684,1.284291309936931
2010-03-24 11:53:36-10:00,1221.01,67.50718024243983,-329.4260731549205,1.2801828097285912
2010-03-24 11:53:37-10:00,1224.91,67.50915827003647,-329.43565352930113,1.2842523222630016
2010-03-24 11:53:38-10:00,1256.09,67.51113573898621,-329.44523548992,1.31692289882561
2010-03-24 11:53:39-10:00,1244.0,67.51311264936162,-329.45481903780956,1.3042275976468762
2010-03-24 11:53:40-10:00,1232.31,67.51508908034097,-329.4644045587678,1.2919520473039068
2010-03-24 11:53:41-10:00,1173.46,67.51706479331817,-329.47399089195653,1.2302351501804056
2010-03-24 11:53:42-10:00,1194.51,67.51904010629347,-329.48357958811266,1.2522846363728375
2010-03-24 11:53:43-10:00,1219.06,67.52101478028074,-329.4931694809966,1.2780026907038897
2010-03-24 11:53:44-10:00,1231.14,67.52298889499347,-329.5027609622096,1.2906472351807
2010-03-24 11:53:45-10:00,1243.62,67.52496245002452,-329.5123540294473,1.3037107318176424
2010-03-24 11:53:46-10:00,1248.29,67.52693544544611,-329.52194868374914,1.3085865912944799
2010-03-24 11:53:47-10:00,1254.53,67.52890788089044,-329.531544924018,1.3151081219601028
2010-03-24 11:53:48-10:00,1252.19,67.53087975639076,-329.5411427500877,1.3126352919190925
2010-03-24 11:53:49-10:00,1254.92,67.53285115103854,-329.55074255192943,1.315477200125106
2010-03-24 11:53:50-10:00,1257.26,67.53482190604198,-329.5603435508967,1.3179102169848056
2010-03-24 11:53:51-10:00,1245.56,67.5367921005152,-329.5699461369046,1.3056261003102083
2010-03-24 11:53:52-10:00,1161.77,67.53876173449126,-329.57955030978593,1.2177770213068626
2010-03-24 11:53:53-10:00,1040.18,67.54073080760264,-329.58915606843493,1.0903089214818116
2010-03-24 11:53:54-10:00,1109.55,67.54269931992104,-329.59876341389656,1.1630045026655293
2010-03-24 11:53:55-10:00,1232.31,67.54466727107877,-329.60837234505595,1.291659211311502
2010-03-24 11:53:56-10:00,1241.28,67.54663474033218,-329.6179832508713,1.301041612235469
2010-03-24 11:53:57-10:00,1251.02,67.54860156888361,-329.62759535326285,1.3112307981186655
2010-03-24 11:53:58-10:00,1251.02,67.55056783608798,-329.6372090435282,1.3112110581068037
2010-03-24 11:53:59-10:00,1253.36,67.55253354164954,-329.6468243198921,1.3136438748475874
2010-03-24 11:54:00-10:00,1256.48,67.55449868531079,-329.65644118178477,1.3168941296679564
2010-03-24 11:54:01-10:00,1258.03,67.55646326714265,-329.66605963024074,1.3184988299578349
2010-03-24 11:54:02-10:00,1257.65,67.55842728677806,-329.6756796641476,1.3180807517873474
2010-03-24 11:54:03-10:00,1259.2,67.56039082331411,-329.68530167291226,1.3196853998321028
2010-03-24 11:54:04-10:00,1260.76,67.56235371827134,-329.69492487755076,1.3213004879769785
2010-03-24 11:54:05-10:00,1261.54,67.56431605084465,-329.7045496698136,1.3220980923654
2010-03-24 11:54:06-10:00,1265.83,67.56627782062931,-329.7141760473775,1.3265741165461862
2010-03-24 11:54:07-10:00,1271.29,67.5682390276963,-329.7238040112903,1.3322761408299437
2010-03-24 11:54:08-10:00,1277.91,67.57019967167872,-329.733433560433,1.3391936305738208
2010-03-24 11:54:09-10:00,1283.76,67.57215975264693,-329.74306469583956,1.3453040061777881
2010-03-24 11:54:10-10:00,1294.28,67.57411934910125,-329.7526978052056,1.3563080137360517
2010-03-24 11:54:11-10:00,1272.45,67.5760782244744,-329.7623317219402,1.333411843645406
2010-03-24 11:54:12-10:00,956.387,67.5780366938961,-329.77196800269934,1.0021915649216389
2010-03-24 11:54:13-10:00,852.72,67.57999452086679,-329.78160548069104,0.8935462315965784
2010-03-24 11:54:14-10:00,1038.62,67.58195178386426,-329.7912445436746,1.0883304031088417
